character_id,character_name,tested_llm,simulator_llm,mode,gt_E,gt_N,gt_C,gt_A,gt_O,inf_E,inf_N,inf_C,inf_A,inf_O,err_E,err_N,err_C,err_A,err_O,MAE,num_turns,timestamp
1000350,Bella Michelle Górska,chatgpt,claude,llm_first,75.0,25.0,75.0,100.0,25.0,30.0,70.0,65.0,90.0,90.0,45.0,45.0,10.0,10.0,65.0,35.0,10,2026-02-08T03:33:32.902797
1000350,Bella Michelle Górska,chatgpt,claude,char_first,75.0,25.0,75.0,100.0,25.0,30.0,70.0,65.0,90.0,85.0,45.0,45.0,10.0,10.0,60.0,34.0,10,2026-02-08T03:35:50.691518
1000350,Bella Michelle Górska,deepseek,claude,llm_first,75.0,25.0,75.0,100.0,25.0,32.0,68.0,75.0,92.0,85.0,43.0,43.0,0.0,8.0,60.0,30.8,10,2026-02-08T03:38:11.755911
1000350,Bella Michelle Górska,deepseek,claude,char_first,75.0,25.0,75.0,100.0,25.0,30.0,65.0,55.0,85.0,80.0,45.0,40.0,20.0,15.0,55.0,35.0,10,2026-02-08T03:40:13.379426
1000350,Bella Michelle Górska,grok,claude,llm_first,75.0,25.0,75.0,100.0,25.0,35.0,65.0,70.0,85.0,60.0,40.0,40.0,5.0,15.0,35.0,27.0,10,2026-02-08T03:42:34.784068
1000350,Bella Michelle Górska,grok,claude,char_first,75.0,25.0,75.0,100.0,25.0,30.0,75.0,60.0,85.0,70.0,45.0,50.0,15.0,15.0,45.0,34.0,10,2026-02-08T03:44:43.520547
1000507,Connor Mark Sousa,chatgpt,claude,llm_first,25.0,100.0,25.0,100.0,75.0,20.0,85.0,60.0,90.0,95.0,5.0,15.0,35.0,10.0,20.0,17.0,10,2026-02-08T03:47:04.589660
1000507,Connor Mark Sousa,chatgpt,claude,char_first,25.0,100.0,25.0,100.0,75.0,25.0,85.0,60.0,95.0,90.0,0.0,15.0,35.0,5.0,15.0,14.0,10,2026-02-08T03:49:13.813211
1000507,Connor Mark Sousa,deepseek,claude,llm_first,25.0,100.0,25.0,100.0,75.0,25.0,75.0,60.0,95.0,90.0,0.0,25.0,35.0,5.0,15.0,16.0,10,2026-02-08T03:51:33.732564
1000507,Connor Mark Sousa,deepseek,claude,char_first,25.0,100.0,25.0,100.0,75.0,35.0,75.0,55.0,90.0,85.0,10.0,25.0,30.0,10.0,10.0,17.0,10,2026-02-08T03:53:58.170251
1000507,Connor Mark Sousa,grok,claude,llm_first,25.0,100.0,25.0,100.0,75.0,20.0,85.0,60.0,90.0,70.0,5.0,15.0,35.0,10.0,5.0,14.0,10,2026-02-08T03:56:16.482033
1000507,Connor Mark Sousa,grok,claude,char_first,25.0,100.0,25.0,100.0,75.0,30.0,75.0,60.0,85.0,80.0,5.0,25.0,35.0,15.0,5.0,17.0,10,2026-02-08T03:58:18.564503
1000521,Evan Liam MacDonald,chatgpt,claude,llm_first,0.0,100.0,100.0,0.0,0.0,15.0,45.0,88.0,25.0,92.0,15.0,55.0,12.0,25.0,92.0,39.8,10,2026-02-08T04:01:10.940372
1000521,Evan Liam MacDonald,chatgpt,claude,char_first,0.0,100.0,100.0,0.0,0.0,10.0,25.0,88.0,30.0,95.0,10.0,75.0,12.0,30.0,95.0,44.4,10,2026-02-08T04:04:00.744941
1000521,Evan Liam MacDonald,deepseek,claude,llm_first,0.0,100.0,100.0,0.0,0.0,10.0,5.0,95.0,15.0,60.0,10.0,95.0,5.0,15.0,60.0,37.0,10,2026-02-08T04:06:22.906960
1000521,Evan Liam MacDonald,deepseek,claude,char_first,0.0,100.0,100.0,0.0,0.0,15.0,10.0,95.0,25.0,85.0,15.0,90.0,5.0,25.0,85.0,44.0,10,2026-02-08T04:08:30.277029
1000521,Evan Liam MacDonald,grok,claude,llm_first,0.0,100.0,100.0,0.0,0.0,10.0,5.0,85.0,20.0,60.0,10.0,95.0,15.0,20.0,60.0,40.0,10,2026-02-08T04:10:51.211783
1000521,Evan Liam MacDonald,grok,claude,char_first,0.0,100.0,100.0,0.0,0.0,10.0,15.0,85.0,30.0,60.0,10.0,85.0,15.0,30.0,60.0,40.0,10,2026-02-08T04:13:01.829192
